customer_id,arrival_time,departure_time
1173,446.018603,481.642639
1174,446.018603,481.082408
1175,446.018603,481.352158
1176,446.018603,481.778241
1177,447.058984,482.324759
1178,447.058984,482.331517
1179,447.058984,481.983627
1180,447.058984,482.625685
1181,447.058984,482.841000
1182,447.065638,483.181537
1183,447.102274,482.713416
1184,447.990260,482.846928
1185,447.990260,486.771832
1186,448.989616,483.194395
1187,448.989616,485.926595
1188,448.989616,483.369034
1189,449.519857,483.946658
1190,449.519857,485.804509
1191,450.002320,485.906003
1192,451.216381,485.998093
1193,451.216381,486.989228
1194,451.216381,487.397705
1195,451.707037,491.571470
1196,452.631270,487.825687
1197,452.631270,488.883155
1198,453.194803,495.158479
1199,453.702506,488.616418
1200,453.702506,489.743596
1201,454.021429,489.327332
1202,454.021429,489.797021
1203,454.021429,492.110255
1204,454.494533,490.146174
1205,455.455793,493.126205
1206,455.536589,498.310130
1207,456.575710,493.486754
1208,457.194210,493.194882
1209,457.194210,494.108003
1210,457.768825,493.632255
1211,457.939049,494.085893
1212,458.819114,494.220274
1213,460.442629,496.693000
1214,460.442629,494.280188
1215,460.583312,494.680422
1216,460.583312,495.850282
1217,460.952953,495.837859
1218,460.952953,499.720073
1219,460.952953,496.915385
1220,462.738327,497.582131
1221,462.738327,497.539476
1222,462.942955,498.288962
1223,462.942955,500.497774
1224,462.942955,500.323530
1225,463.358678,499.845146
1226,464.159683,504.780344
1227,464.159683,508.265667
1228,464.315100,500.617814
1229,465.618929,500.659790
1230,465.618929,501.266806
1231,466.891066,501.151116
1232,468.650990,503.664599
1233,468.650990,504.724002
1234,468.650990,503.875319
1235,468.650990,504.636130
1236,468.871896,506.847497
1237,468.871896,506.204994
1238,468.871896,506.896842
1239,469.127502,507.008446
1240,472.281277,506.896083
1241,472.281277,508.526455
1242,472.281277,506.976718
1243,472.690466,507.815794
1244,472.690466,507.241287
1245,472.908087,511.153184
1246,474.206474,508.039506
1247,474.795071,508.684924
1248,475.754619,512.043650
1249,476.615379,508.806979
1250,476.981526,516.704411
1251,478.534864,511.086978
1252,478.534864,512.337052
1253,478.633581,512.431689
1254,478.695106,513.369974
1255,480.199596,514.135734
1256,480.865049,512.879582
1257,480.865049,513.134163
1258,481.584510,514.431984
1259,481.584510,516.747587
1260,481.584510,514.760911
1261,481.584510,515.129912
1262,481.584510,515.494211
1263,481.584510,515.558232
1264,481.584510,515.803617
1265,481.584510,517.226258
1266,481.600312,516.998173
1267,481.600312,520.370572
1268,481.600312,518.563233
1269,481.600312,517.360157
1270,482.206065,520.073445
1271,482.206065,518.697587
1272,482.206065,521.764507
1273,482.206065,518.906754
1274,482.206065,521.292247
1275,483.022920,520.254728
1276,483.161261,523.694294
1277,483.161261,532.787748
1278,483.161261,521.763749
1279,483.161261,523.494667
1280,483.467481,524.112345
1281,483.467481,524.297620
1282,483.467481,524.302716
1283,483.467481,531.551410
1284,483.467481,524.807712
1285,483.490345,527.154228
1286,485.685975,526.159044
1287,485.685975,526.730110
1288,486.254810,526.999772
1289,486.254810,527.131833
1290,486.330020,529.274891
1291,486.330020,527.217135
1292,486.423616,528.604433
1293,488.739472,530.876704
1294,488.739472,531.103063
1295,488.739472,531.458384
1296,490.825624,531.219292
1297,490.825624,531.823217
1298,490.825624,533.006393
1299,491.930985,537.280511
1300,493.453579,532.471463
1301,493.453579,533.092095
1302,493.453579,536.952447
1303,494.877960,534.177813
1304,494.877960,533.146950
1305,495.112641,534.344742
